#./test/main/nbody-simulation --engine=block \
#--solver=rkdp --stars_count=256 --verbose=1 --block_size=32 --max_time=300 \
#--max_step=1e-4 \
#--min_step=1e-9 \
#--check_step=0.3 \
#--dump_step=0.03 \
#--error_threshold=1e-6 \
#--check_list=PLVE \
#--output=nbody/512-300-1e-4-rkdp 2>nbody512-300-1e-4-rkdp.txt
T	CC	SC	dP	dL	dE
0.3	21000	21000	0	0	0
0.6	42000	21000	9.077E-10	2.579E-13	1.303E-12
0.9	63000	21000	2.018E-09	1.235E-12	4.623E-12
1.2	84000	21000	1.72E-09	1.672E-12	2.444E-13
1.5	105000	21000	9.745E-10	2.441E-12	2.79E-12
1.8	126000	21000	5.529E-10	1.828E-12	2.566E-12
2.1	147000	21000	1.649E-09	6.144E-13	4.012E-12
2.4	168000	21000	7.984E-10	1.493E-12	3.788E-12
2.7	189000	21000	1.698E-09	1.411E-12	6.314E-13
3	210000	21000	7.168E-10	7.796E-13	5.499E-13
3.3	231000	21000	1.068E-09	4.548E-13	4.97E-12
3.6	252000	21000	3.817E-09	1.52E-12	2.077E-12
3.9	273000	21000	1.5E-09	1.104E-12	3.462E-13
4.2	294000	21000	1.976E-09	2.404E-12	5.723E-12
4.5	315000	21000	1.504E-09	2.056E-12	9.023E-12
4.8	336000	21000	1.144E-09	2.106E-12	2.648E-12
5.1	357000	21000	2.359E-09	3.198E-12	1.853E-12
5.4	378000	21000	2.092E-09	3.785E-12	5.845E-12
5.7	399000	21000	3.771E-09	3.89E-12	7.719E-12
6	420000	21000	1.108E-09	3.092E-12	3.381E-12
6.3	441000	21000	5.596E-10	2.481E-12	2.994E-12
6.6	462000	21000	1.238E-10	1.679E-12	7.129E-13
6.9	483000	21000	1.348E-09	9.468E-13	6.314E-13
7.2	504000	21000	2.48E-09	1.198E-12	2.851E-13
7.5	525000	21000	2.538E-09	8.846E-13	2.2E-12
7.8	546000	21000	2.892E-09	1.374E-12	2.342E-12
8.1	567000	21000	3E-09	8.723E-13	1.426E-12
8.4	588000	21000	2.086E-09	6.033E-13	2.281E-12
8.7	609000	21000	3.037E-09	7.632E-13	1.996E-12
9	630000	21000	3.59E-09	1.577E-12	2.688E-12
9.3	651000	21000	4.811E-09	1.743E-12	7.006E-12
9.6	672000	21000	5.414E-09	2.464E-12	1.303E-12
9.9	693000	21000	7.114E-09	3.072E-12	9.776E-13
10.2	714000	21000	5.146E-09	2.403E-12	6.253E-12
10.5	735000	21000	6.477E-09	2.253E-12	4.257E-12
10.8	756000	21000	1.068E-08	4.427E-12	1.222E-12
11.1	777000	21000	9.965E-09	4.358E-12	1.161E-12
11.4	798000	21000	9.257E-09	4.68E-12	2.851E-13
11.7	819000	21000	8.816E-09	4.787E-12	4.338E-12
12	840000	21000	8.416E-09	4.339E-12	5.784E-12
12.3	861000	21000	9.426E-09	6.287E-12	5.255E-12
12.6	882000	21000	8.021E-09	5.579E-12	4.562E-12
12.9	903000	21000	6.368E-09	5.382E-12	9.206E-12
13.2	924000	21000	6.424E-09	6.331E-12	2.464E-12
13.5	945000	21000	4.69E-09	6.07E-12	8.921E-12
13.8	966000	21000	5.074E-09	6.685E-12	1.326E-11
14.1	987000	21000	5.057E-09	6.598E-12	6.803E-12
14.4	1008000	21000	4.584E-09	5.83E-12	5.316E-12
14.7	1029000	21000	3.515E-09	4.996E-12	6.293E-12
15	1050000	21000	3.421E-09	3.385E-12	6.11E-12
15.3	1071000	21000	4.161E-09	4.085E-12	9.104E-12
15.6	1092000	21000	5.835E-09	5.285E-12	7.923E-12
15.9	1113000	21000	6.568E-09	6.041E-12	4.359E-12
16.2	1134000	21000	7.365E-09	7.453E-12	2.729E-12
16.5	1155000	21000	7.535E-09	6.479E-12	9.43E-12
16.8	1176000	21000	6.573E-09	6.9E-12	2.648E-12
17.1	1197000	21000	7.28E-09	7.922E-12	8.249E-12
17.4	1218000	21000	8.611E-09	8.374E-12	1.181E-11
17.7	1239000	21000	1.259E-08	8.182E-12	6.742E-12
18	1260000	21000	1.056E-08	9.428E-12	7.006E-12
18.3	1281000	21000	9.746E-09	9.074E-12	1.157E-11
18.6	1302000	21000	9.948E-09	9.804E-12	6.029E-12
18.9	1323000	21000	1.13E-08	6.918E-12	4.338E-12
19.2	1344000	21000	1.102E-08	6.507E-12	7.149E-12
19.5	1365000	21000	9.746E-09	8.529E-12	1.053E-11
19.8	1386000	21000	9.885E-09	1.203E-11	3.442E-12
20.1	1407000	21000	8.722E-09	1.281E-11	1.285E-11
20.4	1428000	21000	1.16E-08	1.191E-11	9.695E-12
20.7	1449000	21000	1.027E-08	1.074E-11	7.964E-12
21	1470000	21000	9.186E-09	1.409E-11	4.603E-12
21.3	1491000	21000	9.684E-09	1.261E-11	1.259E-11
21.6	1512000	21000	9.205E-09	1.362E-11	7.088E-12
21.9	1533000	21000	9.744E-09	1.451E-11	9.573E-13
22.2	1554000	21000	9.933E-09	1.216E-11	1.157E-11
22.5	1661800	107800	1.383E-07	1.439E-10	1.238E-09
22.8	1682800	21000	1.357E-07	1.434E-10	1.258E-09
23.1	1703800	21000	1.34E-07	1.425E-10	1.244E-09
23.4	1724800	21000	1.324E-07	1.447E-10	1.257E-09
23.7	1745800	21000	1.388E-07	1.48E-10	1.253E-09
