#nbody-simulation --engine=block \
#--solver=rkdverk --stars_count=256 --verbose=1 --block_size=32 --max_time=300 \
#--max_step=1e-5 \
#--min_step=1e-9 \
#--check_step=0.3 \
#--dump_step=0.03 \
#--error_threshold=1e-6 \
#--check_list=PLVE \
#--output=$OUT/512-300-1e-5-dverk 2>$OUT/nbody512-300-1e-5-dverk.txt
T	CC	SC	dP	dL	dE
0.3	240000	240000	0	0	0
0.6	480000	240000	9.126E-10	2.879E-12	1.955E-12
0.9	720000	240000	3.038E-10	2.01E-12	9.776E-13
1.2	960000	240000	1.778E-09	1.953E-12	2.363E-12
1.5	1200000	240000	2.066E-09	4.641E-12	3.422E-12
1.8	1440000	240000	3.431E-09	7.194E-12	2.363E-12
2.1	1680000	240000	4.275E-09	8.628E-12	1.014E-11
2.4	1920000	240000	7.226E-09	7.583E-12	1.528E-12
2.7	2160000	240000	4.331E-09	9.714E-12	6.945E-12
3	2400000	240000	1.462E-08	1.703E-11	9.43E-12
3.3	2640000	240000	9.786E-09	1.101E-11	1.487E-12
3.6	2880000	240000	1.087E-08	1.219E-11	3.91E-12
3.9	3120000	240000	1.472E-08	1.539E-11	9.939E-12
4.2	3360000	240000	1.725E-08	1.683E-11	4.175E-12
4.5	3600000	240000	2.453E-08	1.952E-11	2.505E-12
4.8	3840000	240000	1.93E-08	1.834E-11	7.964E-12
5.1	4080000	240000	1.286E-08	1.596E-11	1.271E-11
5.4	4320000	240000	1.484E-08	1.794E-11	4.053E-12
5.7	4560000	240000	2.19E-08	1.94E-11	2.974E-12
6	4800000	240000	2.036E-08	1.725E-11	5.234E-12
6.3	5040000	240000	2.254E-08	1.695E-11	8.778E-12
6.6	5280000	240000	1.915E-08	1.779E-11	1.063E-11
6.9	5520000	240000	1.988E-08	1.752E-11	1.02E-11
7.2	5760000	240000	2.176E-08	1.55E-11	7.943E-12
7.5	6000000	240000	2.135E-08	1.12E-11	7.353E-12
7.8	6240000	240000	2.133E-08	1.11E-11	3.544E-12
8.1	6480000	240000	2.132E-08	1.369E-11	8.147E-12
8.4	6720000	240000	1.752E-08	1.122E-11	6.823E-12
8.7	6960000	240000	1.879E-08	1.12E-11	4.236E-12
9	7200000	240000	2.329E-08	1.067E-11	3.605E-12
9.3	7440000	240000	2.213E-08	8.4E-12	5.275E-12
9.6	7680000	240000	2.613E-08	1.404E-11	9.511E-12
9.9	7920000	240000	2.591E-08	1.345E-11	8.269E-12
10.2	8160000	240000	2.991E-08	1.287E-11	4.073E-13
10.5	8400000	240000	3.054E-08	1.065E-11	8.351E-13
10.8	8640000	240000	3.159E-08	1.13E-11	3.075E-12
11.1	8880000	240000	2.813E-08	1.019E-11	4.705E-12
11.4	9120000	240000	2.742E-08	9.697E-12	6.375E-12
11.7	9360000	240000	3.077E-08	9.816E-12	4.073E-13
12	9600000	240000	3.366E-08	1.069E-11	1.222E-13
12.3	9840000	240000	3.201E-08	1.036E-11	4.481E-13
12.6	10080000	240000	3.117E-08	1.296E-11	1.405E-12
12.9	10320000	240000	3.409E-08	1.356E-11	1.202E-12
13.2	10560000	240000	3.703E-08	1.562E-11	9.797E-12
13.5	10800000	240000	3.565E-08	1.325E-11	3.137E-12
13.8	11040000	240000	3.035E-08	1.477E-11	7.617E-12
14.1	11280000	240000	2.682E-08	1.166E-11	1.424E-11
14.4	11520000	240000	2.545E-08	1.32E-11	1.796E-11
14.7	11760000	240000	2.373E-08	1.764E-11	1.908E-11
15	12000000	240000	1.999E-08	1.593E-11	1.684E-11
15.3	12240000	240000	1.976E-08	1.901E-11	1.827E-11
15.6	12480000	240000	2.293E-08	2.045E-11	1.583E-11
15.9	12720000	240000	2.505E-08	2.227E-11	1.104E-11
16.2	12960000	240000	2.166E-08	2.13E-11	1.336E-11
16.5	13200000	240000	2.24E-08	2.404E-11	4.583E-12
16.8	13440000	240000	2.54E-08	2.332E-11	7.617E-12
17.1	13680000	240000	2.027E-08	1.913E-11	1.242E-12
17.4	13920000	240000	2.018E-08	1.887E-11	1.568E-12
17.7	14160000	240000	2.15E-08	2.115E-11	1.976E-12
18	14400000	240000	2.284E-08	2.4E-11	1.792E-12
18.3	14640000	240000	2.243E-08	2.515E-11	1.589E-12
18.6	14880000	240000	2.384E-08	2.734E-11	3.198E-12
18.9	15120000	240000	2.365E-08	2.821E-11	1.242E-12
19.2	15360000	240000	2.383E-08	1.985E-11	1.915E-12
19.5	15600000	240000	2.278E-08	1.748E-11	7.536E-13
19.8	15840000	240000	2.167E-08	1.565E-11	1.118E-11
20.1	16080000	240000	3.226E-08	1.522E-11	8.126E-12
20.4	16320000	240000	3.926E-08	1.881E-11	1.693E-11
20.7	16560000	240000	5.284E-08	1.866E-11	2.198E-11
21	16800000	240000	4.545E-08	2.468E-11	3.204E-11
21.3	17040000	240000	5.397E-08	2.686E-11	2.743E-11
21.6	17280000	240000	7.294E-08	3.682E-11	3.106E-11
21.9	17520000	240000	7.361E-08	3.78E-11	3.448E-11
22.2	17760000	240000	7.512E-08	3.612E-11	3.393E-11
22.5	18073536	313536	4.352E-07	2.074E-10	4.052E-10
22.8	18313536	240000	4.451E-07	2.118E-10	3.825E-10
23.1	18553536	240000	4.427E-07	2.131E-10	4.01E-10
23.4	18793536	240000	4.514E-07	2.173E-10	4.081E-10
23.7	19033536	240000	4.68E-07	2.221E-10	4.17E-10
24	19273536	240000	4.74E-07	2.252E-10	4.179E-10
24.3	19513536	240000	4.859E-07	2.291E-10	4.113E-10
24.6	19753536	240000	4.967E-07	2.271E-10	4.2E-10
24.9	19993536	240000	4.912E-07	2.215E-10	4.268E-10
25.2	20233536	240000	5.028E-07	2.293E-10	4.267E-10
25.5	20473536	240000	4.984E-07	2.319E-10	4.211E-10
25.8	21409088	935552	5.984E-06	1.055E-09	1.802E-09
26.1	21649088	240000	5.978E-06	1.056E-09	1.807E-09
26.4	21889088	240000	5.997E-06	1.064E-09	1.8E-09
26.7	22129088	240000	5.998E-06	1.072E-09	1.8E-09
27	22369088	240000	5.976E-06	1.063E-09	1.8E-09
27.3	22609088	240000	5.983E-06	1.068E-09	1.787E-09
27.6	22849088	240000	5.97E-06	1.063E-09	1.776E-09
27.9	23089088	240000	6.001E-06	1.079E-09	1.761E-09
28.2	23329088	240000	5.982E-06	1.068E-09	1.705E-09
28.5	23574016	244928	5.967E-06	1.065E-09	1.7E-09
28.8	23814016	240000	5.976E-06	1.066E-09	1.718E-09
29.1	24054016	240000	5.97E-06	1.067E-09	1.693E-09
29.4	24294016	240000	5.983E-06	1.073E-09	1.632E-09
29.7	24534016	240000	5.988E-06	1.075E-09	1.659E-09
30	24774016	240000	5.987E-06	1.061E-09	1.807E-09
30.3	25014016	240000	5.984E-06	1.047E-09	1.818E-09
30.6	25254016	240000	5.991E-06	1.046E-09	1.851E-09
30.9	25494016	240000	6.017E-06	1.073E-09	1.774E-09
31.2	25734016	240000	6.033E-06	1.085E-09	1.778E-09
31.5	25974016	240000	6.054E-06	1.104E-09	1.757E-09
31.8	26214016	240000	6.077E-06	1.112E-09	1.792E-09
32.1	26454016	240000	6.086E-06	1.115E-09	1.75E-09
32.4	26699072	245056	6.109E-06	1.127E-09	1.732E-09
32.7	26939072	240000	6.123E-06	1.136E-09	1.735E-09
33	27179072	240000	6.129E-06	1.14E-09	1.702E-09
33.3	27419072	240000	6.117E-06	1.125E-09	1.725E-09
33.6	27659072	240000	6.125E-06	1.134E-09	1.703E-09
33.9	27903744	244672	6.134E-06	1.129E-09	1.737E-09
34.2	28151104	247360	6.118E-06	1.124E-09	1.726E-09
34.5	28395520	244416	6.12E-06	1.131E-09	1.699E-09
34.8	28635520	240000	6.129E-06	1.14E-09	1.695E-09
35.1	28875520	240000	6.136E-06	1.138E-09	1.704E-09
35.4	29115520	240000	6.138E-06	1.142E-09	1.704E-09
35.7	29355520	240000	6.146E-06	1.146E-09	1.742E-09
36	29606848	251328	6.147E-06	1.145E-09	1.79E-09
36.3	29846848	240000	6.129E-06	1.138E-09	1.799E-09
36.6	30086848	240000	6.134E-06	1.142E-09	1.787E-09
36.9	30326848	240000	6.124E-06	1.133E-09	1.784E-09
37.2	31516544	1189696	3.981E-07	3.724E-09	5.693E-10
37.5	31756544	240000	3.774E-07	3.74E-09	5.605E-10
37.8	32009152	252608	3.839E-07	3.731E-09	4.257E-10
38.1	32249152	240000	3.678E-07	3.741E-09	4.123E-10
38.4	32489152	240000	3.641E-07	3.738E-09	4.296E-10
38.7	32729152	240000	3.703E-07	3.737E-09	4.197E-10
39	32969152	240000	3.713E-07	3.741E-09	4.172E-10
39.3	33213376	244224	3.665E-07	3.747E-09	4.087E-10
39.6	33465920	252544	3.751E-07	3.744E-09	4.755E-10
39.9	33705920	240000	3.573E-07	3.753E-09	4.773E-10
40.2	34730304	1024384	1.356E-07	5.654E-09	4.89E-09
