#./test/main/nbody-simulation --engine=block \
#--solver=adams --stars_count=256 --verbose=1 --block_size=32 --max_time=300 \
#--max_step=1e-6 \
#--min_step=1e-9 \
#--check_step=0.3 \
#--dump_step=0.03 \
#--rank=5 \
#--starter_solver=rkdp \
#--check_list=PLVE \
#--output=nbody/512-300-1e-6-adams 2>nbody512-300-1e-6-adams.txt
T	CC	SC	dP	dL	dE
0.3	300042	300042	0	0	0
0.6	600042	300000	9.878E-10	1.118E-11	7.19E-12
0.9	900042	300000	1.774E-08	1.375E-11	7.027E-12
1.2	1200042	300000	2.899E-08	1.723E-11	1.09E-11
1.5	1500042	300000	4.599E-08	2.972E-11	7.393E-12
1.8	1800042	300000	3.704E-08	3.586E-11	1.139E-11
2.1	2100042	300000	3.602E-08	3.374E-11	1.597E-11
2.4	2400042	300000	5.868E-08	3.363E-11	7.515E-12
2.7	2700042	300000	5.741E-08	3.512E-11	1.316E-11
3	3000042	300000	3.121E-08	2.79E-11	9.063E-12
3.3	3300042	300000	1.753E-08	2.536E-11	6.66E-12
3.6	3600042	300000	1.331E-08	2.317E-11	6.395E-12
3.9	3900042	300000	9.438E-09	2.11E-11	5.866E-12
4.2	4200042	300000	2.066E-08	2.741E-11	2.444E-13
4.5	4500042	300000	2.183E-08	3.217E-11	3.951E-12
4.8	4800042	300000	5.383E-08	4.554E-11	1.528E-12
5.1	5100042	300000	5.994E-08	5.54E-11	8.534E-12
5.4	5400042	300000	2.916E-08	3.235E-11	7.617E-12
5.7	5700042	300000	1.682E-08	3.619E-11	1.238E-11
6	6000042	300000	2.62E-08	4.188E-11	1.051E-11
6.3	6300042	300000	3.727E-08	2.506E-11	1.434E-11
6.6	6600042	300000	3.47E-08	2.404E-11	1.629E-11
6.9	6900042	300000	3.87E-08	2.355E-11	1.568E-11
7.2	7200042	300000	4.718E-08	2.887E-11	1.481E-11
7.5	7500042	300000	5.608E-08	2.655E-11	2.363E-11
7.8	7800042	300000	5.387E-08	2.869E-11	2.071E-11
8.1	8100042	300000	6.444E-08	3.719E-11	1.627E-11
8.4	8400042	300000	6.771E-08	3.704E-11	1.967E-11
8.7	8700042	300000	6.724E-08	3.497E-11	1.762E-11
9	9000042	300000	6.774E-08	4.089E-11	1.022E-11
9.3	9300042	300000	6.987E-08	4.056E-11	4.603E-12
9.6	9600042	300000	8.809E-08	4.536E-11	1.91E-11
